data,id_produto,quantidade_vendida,preco_unitario,regiao
2024-01-14,P006,17,324.05,Nordeste
2024-01-14,P003,20,468.08,Sudeste
2024-01-14,P017,17,772.04,Sudeste
2024-01-14,P020,15,439.88,Norte
2024-01-14,P001,17,49.66,Centro-Oeste
2024-01-14,P007,14,643.01,Norte
2024-01-14,P004,20,729.99,Centro-Oeste
2024-01-14,P013,7,709.7,Norte
2024-01-14,P015,16,45.78,Sul
2024-01-14,P010,10,46.55,Sul
2024-01-14,P018,20,337.72,Nordeste
2024-01-14,P013,4,355.62,Sul
2024-01-21,P018,12,522.68,Sudeste
2024-01-21,P008,15,792.78,Norte
2024-01-21,P001,7,619.67,Sudeste
2024-01-21,P015,3,284.42,Nordeste
2024-01-21,P001,19,252.94,Sul
2024-01-21,P018,4,462.29,Sudeste
2024-01-21,P002,14,369.29,Sudeste
2024-01-21,P015,13,371.25,Sudeste
2024-01-21,P005,8,260.18,Sul
2024-01-21,P001,5,280.52,Nordeste
2024-01-21,P018,19,613.36,Sul
2024-01-21,P019,1,663.96,Centro-Oeste
2024-01-21,P017,11,287.2,Centro-Oeste
2024-01-21,P006,5,678.93,Norte
2024-01-21,P020,7,363.28,Sudeste
2024-01-21,P017,4,685.88,Centro-Oeste
2024-01-21,P012,19,408.43,Sul
2024-01-21,P002,8,686.73,Norte
2024-01-21,P005,1,152.49,Norte
2024-01-21,P011,4,445.57,Centro-Oeste
2024-01-21,P014,6,376.48,Centro-Oeste
2024-01-21,P006,17,503.27,Sul
2024-01-21,P008,1,355.11,Centro-Oeste
2024-01-21,P005,15,46.42,Sul
2024-01-21,P015,8,577.79,Norte
2024-01-21,P003,18,196.35,Sul
2024-01-21,P014,13,376.66,Sul
2024-01-21,P012,19,746.11,Sudeste
2024-01-21,P007,2,198.03,Norte
2024-01-21,P017,16,472.59,Norte
2024-01-28,P014,7,484.01,Centro-Oeste
2024-01-28,P005,8,219.98,Sul
2024-01-28,P012,10,450.75,Norte
2024-01-28,P016,10,618.75,Sul
2024-01-28,P002,6,345.74,Nordeste
2024-01-28,P015,11,481.48,Centro-Oeste
2024-01-28,P017,3,467.95,Sul
2024-01-28,P014,9,737.5,Centro-Oeste
2024-01-28,P006,9,731.67,Centro-Oeste
2024-01-28,P019,14,430.7,Sul
2024-01-28,P005,17,99.03,Norte
2024-01-28,P010,14,208.93,Sudeste
2024-01-28,P013,5,662.77,Nordeste
2024-01-28,P016,6,424.81,Norte
2024-01-28,P005,20,699.85,Sul
2024-01-28,P013,14,99.05,Nordeste
2024-01-28,P012,19,94.75,Centro-Oeste
2024-01-28,P019,13,500.07,Sul
2024-01-28,P004,16,672.86,Centro-Oeste
2024-01-28,P017,2,306.27,Nordeste
2024-01-28,P015,13,386.52,Sudeste
2024-01-28,P007,10,703.13,Sudeste
2024-01-28,P018,12,565.66,Nordeste
2024-01-28,P007,13,91.39,Norte
2024-01-28,P009,16,691.31,Sul
2024-01-28,P007,4,328.07,Sudeste
2024-01-28,P010,14,286.12,Sudeste
2024-01-28,P001,6,53.28,Centro-Oeste
2024-01-28,P004,6,155.26,Centro-Oeste
2024-01-28,P013,14,790.69,Sudeste
2024-02-04,P011,13,366.86,Centro-Oeste
2024-02-04,P004,1,683.15,Sudeste
2024-02-04,P003,12,399.96,Norte
2024-02-04,P015,6,76.87,Centro-Oeste
2024-02-04,P014,6,456.57,Centro-Oeste
2024-02-04,P017,11,361.2,Sul
2024-02-04,P006,9,700.98,Nordeste
2024-02-04,P015,18,98.12,Centro-Oeste
2024-02-04,P004,14,37.1,Norte
2024-02-04,P013,19,165.52,Nordeste
2024-02-04,P010,7,331.91,Centro-Oeste
2024-02-04,P017,16,108.68,Sul
2024-02-04,P004,3,771.52,Sudeste
2024-02-04,P003,16,107.1,Sul
2024-02-04,P011,16,126.43,Centro-Oeste
2024-02-04,P015,4,210.75,Sudeste
2024-02-04,P017,18,765.23,Sul
2024-02-04,P017,1,458.65,Norte
2024-02-04,P006,18,268.33,Sul
2024-02-04,P019,10,159.7,Centro-Oeste
2024-02-04,P004,4,372.97,Centro-Oeste
2024-02-04,P013,16,88.85,Nordeste
2024-02-04,P019,11,46.95,Nordeste
2024-02-04,P018,19,612.76,Centro-Oeste
2024-02-04,P009,3,349.56,Sul
2024-02-04,P007,14,650.42,Nordeste
2024-02-04,P005,3,776.84,Centro-Oeste
2024-02-04,P017,1,83.12,Norte
2024-02-04,P017,13,244.98,Nordeste
2024-02-04,P017,1,560.8,Sul
2024-02-11,P018,9,731.6,Centro-Oeste
2024-02-11,P018,12,599.76,Centro-Oeste
2024-02-11,P018,15,297.09,Sul
2024-02-11,P011,11,402.59,Norte
2024-02-11,P018,17,190.51,Sul
2024-02-11,P020,18,620.12,Sudeste
2024-02-11,P015,13,600.56,Sudeste
2024-02-11,P017,8,664.08,Sul
2024-02-11,P006,15,220.49,Sul
2024-02-11,P005,17,152.83,Sudeste
2024-02-11,P001,2,237.1,Norte
2024-02-11,P017,7,514.36,Norte
2024-02-11,P009,6,145.61,Norte
2024-02-11,P018,1,439.36,Sul
2024-02-11,P020,13,688.35,Sul
2024-02-11,P013,7,124.52,Centro-Oeste
2024-02-11,P009,1,136.72,Sul
2024-02-11,P003,18,88.2,Sudeste
2024-02-11,P013,20,564.8,Sul
2024-02-11,P001,20,95.02,Norte
2024-02-11,P017,1,558.78,Centro-Oeste
2024-02-11,P002,15,277.5,Centro-Oeste
2024-02-11,P004,6,303.12,Centro-Oeste
2024-02-11,P020,11,668.5,Nordeste
2024-02-11,P017,10,424.85,Sul
2024-02-11,P001,18,525.83,Sul
2024-02-11,P011,5,336.05,Sudeste
2024-02-11,P002,1,566.36,Norte
2024-02-11,P005,18,443.83,Sudeste
2024-02-11,P018,5,140.26,Sul
2024-02-18,P009,19,182.14,Centro-Oeste
2024-02-18,P017,9,487.01,Sudeste
2024-02-18,P016,13,138.86,Centro-Oeste
2024-02-18,P002,15,136.09,Norte
2024-02-18,P008,10,642.97,Sudeste
2024-02-18,P003,11,652.94,Nordeste
2024-02-18,P015,2,332.64,Sudeste
2024-02-18,P005,20,541.15,Norte
2024-02-18,P004,12,715.93,Centro-Oeste
2024-02-18,P018,7,529.86,Sudeste
2024-02-18,P010,5,527.07,Centro-Oeste
2024-02-18,P017,8,279.09,Sul
2024-02-18,P013,15,544.35,Sudeste
2024-02-18,P006,8,204.7,Sudeste
2024-02-18,P014,15,333.34,Sul
2024-02-18,P006,9,311.37,Nordeste
2024-02-18,P001,9,253.06,Nordeste
2024-02-18,P017,8,698.15,Centro-Oeste
2024-02-18,P003,15,260.85,Centro-Oeste
2024-02-18,P008,12,307.98,Nordeste
2024-02-18,P005,15,630.54,Centro-Oeste
2024-02-18,P016,1,550.22,Sudeste
2024-02-18,P020,11,612.66,Sudeste
2024-02-18,P007,1,278.95,Sudeste
2024-02-18,P007,18,174.47,Sul
2024-02-18,P002,4,592.93,Norte
2024-02-18,P010,17,613.27,Norte
2024-02-18,P006,5,752.93,Sudeste
2024-02-18,P006,10,269.91,Norte
2024-02-18,P014,9,784.32,Sul
2024-02-25,P002,20,602.05,Sudeste
2024-02-25,P007,18,566.97,Sul
2024-02-25,P008,11,143.19,Sul
2024-02-25,P017,13,413.32,Nordeste
2024-02-25,P013,8,373.04,Nordeste
2024-02-25,P002,14,565.92,Norte
2024-02-25,P006,3,105.95,Sudeste
2024-02-25,P019,15,482.73,Sul
2024-02-25,P013,13,347.73,Centro-Oeste
2024-02-25,P010,9,190.79,Sul
2024-02-25,P006,17,45.6,Norte
2024-02-25,P017,14,470.68,Nordeste
2024-02-25,P018,17,696.47,Sul
2024-02-25,P009,13,604.61,Nordeste
2024-02-25,P011,6,412.14,Norte
2024-02-25,P009,7,186.87,Centro-Oeste
2024-02-25,P013,10,517.39,Nordeste
2024-02-25,P018,3,439.08,Sul
2024-02-25,P009,13,575.37,Sul
2024-02-25,P002,16,580.54,Sudeste
2024-02-25,P009,12,641.87,Norte
2024-02-25,P006,8,79.27,Sul
2024-02-25,P001,1,672.12,Sudeste
2024-02-25,P002,13,515.26,Norte
2024-02-25,P014,7,367.19,Sul
2024-02-25,P004,18,241.88,Nordeste
2024-02-25,P008,17,492.85,Sul
2024-02-25,P013,17,342.02,Sul
2024-02-25,P003,3,293.35,Centro-Oeste
2024-02-25,P011,16,703.85,Norte
2024-03-03,P008,8,760.85,Norte
2024-03-03,P007,15,310.78,Sul
2024-03-03,P017,9,576.87,Nordeste
2024-03-03,P019,16,779.03,Norte
2024-03-03,P016,16,217.95,Centro-Oeste
2024-03-03,P010,13,799.32,Nordeste
2024-03-03,P018,9,740.58,Sul
2024-03-03,P001,12,482.95,Centro-Oeste
2024-03-03,P011,4,143.22,Sul
2024-03-03,P012,13,486.61,Sul
2024-03-03,P009,1,312.82,Sudeste
2024-03-03,P010,6,309.57,Centro-Oeste
2024-03-03,P010,8,746.02,Nordeste
2024-03-03,P014,17,38.31,Sudeste
2024-03-03,P009,4,74.29,Norte
2024-03-03,P010,2,281.8,Nordeste
2024-03-03,P009,16,556.01,Centro-Oeste
2024-03-03,P005,15,209.67,Centro-Oeste
2024-03-03,P011,18,295.44,Sudeste
2024-03-03,P019,4,437.26,Centro-Oeste
2024-03-03,P016,4,396.35,Nordeste
2024-03-03,P018,2,336.78,Centro-Oeste
2024-03-03,P010,13,174.43,Sudeste
2024-03-03,P013,6,519.87,Centro-Oeste
2024-03-03,P014,18,307.59,Sudeste
2024-03-03,P002,19,417.19,Nordeste
2024-03-03,P011,2,491.6,Sul
2024-03-03,P009,17,525.5,Nordeste
2024-03-03,P004,13,197.41,Norte
2024-03-03,P006,2,788.18,Centro-Oeste
2024-03-10,P014,16,151.08,Centro-Oeste
2024-03-10,P016,7,458.8,Sul
2024-03-10,P006,2,626.41,Nordeste
2024-03-10,P018,15,756.65,Nordeste
2024-03-10,P019,3,145.02,Sul
2024-03-10,P019,5,546.31,Sul
2024-03-10,P016,18,415.3,Sul
2024-03-10,P017,4,555.63,Sudeste
2024-03-10,P001,17,276.27,Nordeste
2024-03-10,P015,9,607.85,Sul
2024-03-10,P016,14,99.62,Sudeste
2024-03-10,P012,17,336.66,Nordeste
2024-03-10,P019,20,486.95,Norte
2024-03-10,P008,17,107.25,Sul
2024-03-10,P007,19,454.24,Centro-Oeste
2024-03-10,P008,5,758.43,Nordeste
2024-03-10,P003,11,558.22,Sul
2024-03-10,P007,2,735.29,Nordeste
2024-03-10,P014,19,257.54,Nordeste
2024-03-10,P005,6,511.22,Sudeste
2024-03-10,P006,17,667.88,Sudeste
2024-03-10,P008,2,130.35,Nordeste
2024-03-10,P002,4,209.43,Sul
2024-03-10,P018,13,478.5,Nordeste
2024-03-10,P018,3,647.45,Centro-Oeste
2024-03-10,P008,5,691.34,Sul
2024-03-10,P018,6,376.99,Centro-Oeste
2024-03-10,P010,5,481.22,Centro-Oeste
2024-03-10,P001,20,62.81,Centro-Oeste
2024-03-10,P008,17,495.02,Sul
2024-03-17,P010,2,222.39,Nordeste
2024-03-17,P001,14,705.25,Sudeste
2024-03-17,P016,18,131.97,Sudeste
2024-03-17,P018,12,600.79,Norte
2024-03-17,P017,6,38.42,Sul
2024-03-17,P017,7,332.14,Sudeste
2024-03-17,P002,19,776.67,Sul
2024-03-17,P010,17,32.16,Sudeste
2024-03-17,P003,7,621.84,Norte
2024-03-17,P015,15,407.13,Norte
2024-03-17,P013,12,735.2,Centro-Oeste
2024-03-17,P017,2,738.5,Nordeste
2024-03-17,P017,5,271.85,Sudeste
2024-03-17,P008,13,422.23,Sudeste
2024-03-17,P007,7,618.04,Centro-Oeste
2024-03-17,P010,6,471.07,Centro-Oeste
2024-03-17,P017,2,486.62,Sudeste
2024-03-17,P009,7,209.56,Centro-Oeste
2024-03-17,P001,16,307.36,Nordeste
2024-03-17,P008,7,387.05,Sul
2024-03-17,P007,15,363.08,Norte
2024-03-17,P009,14,460.45,Norte
2024-03-17,P011,4,484.71,Sudeste
2024-03-17,P019,17,181.22,Nordeste
2024-03-17,P012,19,758.68,Sul
2024-03-17,P004,18,722.07,Norte
2024-03-17,P002,11,432.95,Norte
2024-03-17,P018,11,753.76,Norte
2024-03-17,P010,18,30.34,Nordeste
2024-03-17,P015,3,50.92,Sudeste
2024-03-24,P014,8,309.52,Norte
2024-03-24,P005,7,645.21,Centro-Oeste
2024-03-24,P013,8,318.08,Nordeste
2024-03-24,P017,4,145.24,Norte
2024-03-24,P005,18,675.41,Centro-Oeste
2024-03-24,P011,18,648.58,Centro-Oeste
2024-03-24,P016,2,689.77,Centro-Oeste
2024-03-24,P007,5,794.36,Sudeste
2024-03-24,P004,7,316.87,Nordeste
2024-03-24,P007,15,462.43,Sudeste
2024-03-24,P009,14,677.23,Sul
2024-03-24,P012,16,675.94,Centro-Oeste
2024-03-24,P007,16,739.82,Sul
2024-03-24,P013,17,142.9,Norte
2024-03-24,P011,5,320.5,Sudeste
2024-03-24,P001,4,236.5,Sudeste
2024-03-24,P019,4,589.19,Sudeste
2024-03-24,P003,3,150.15,Sudeste
2024-03-24,P015,4,446.18,Nordeste
2024-03-24,P002,10,135.58,Nordeste
2024-03-24,P018,5,650.44,Sudeste
2024-03-24,P010,12,589.8,Sudeste
2024-03-24,P009,2,616.67,Sul
2024-03-24,P001,2,600.65,Centro-Oeste
2024-03-24,P010,15,382.21,Nordeste
2024-03-24,P002,1,65.06,Nordeste
2024-03-24,P002,20,324.4,Norte
2024-03-24,P007,7,539.98,Norte
2024-03-24,P002,3,106.95,Nordeste
2024-03-24,P013,16,412.64,Centro-Oeste
2024-03-31,P012,10,445.75,Centro-Oeste
2024-03-31,P005,17,487.37,Centro-Oeste
2024-03-31,P020,15,334.98,Norte
2024-03-31,P007,8,498.74,Nordeste
2024-03-31,P005,9,608.69,Sudeste
2024-03-31,P005,10,45.82,Nordeste
2024-03-31,P018,17,533.3,Sul
2024-03-31,P014,5,65.0,Centro-Oeste
2024-03-31,P004,2,676.34,Sudeste
2024-03-31,P005,8,230.52,Nordeste
2024-03-31,P015,7,697.0,Centro-Oeste
2024-03-31,P010,12,396.78,Centro-Oeste
2024-03-31,P005,4,387.35,Sudeste
2024-03-31,P018,13,160.03,Sul
2024-03-31,P011,20,569.44,Centro-Oeste
2024-03-31,P006,1,335.94,Sul
2024-03-31,P013,9,146.45,Centro-Oeste
2024-03-31,P002,19,391.58,Norte
2024-03-31,P012,4,447.04,Sudeste
2024-03-31,P001,16,540.13,Centro-Oeste
2024-03-31,P001,20,227.93,Norte
2024-03-31,P020,12,205.1,Norte
2024-03-31,P003,16,611.39,Sudeste
2024-03-31,P017,6,443.93,Sudeste
2024-03-31,P009,7,235.81,Centro-Oeste
2024-03-31,P013,19,114.75,Nordeste
2024-03-31,P020,10,333.11,Norte
2024-03-31,P006,13,477.34,Sul
2024-03-31,P009,3,737.8,Sul
2024-03-31,P009,15,729.9,Norte
2024-04-07,P008,18,346.74,Sudeste
2024-04-07,P010,8,747.31,Sudeste
2024-04-07,P005,18,484.6,Sudeste
2024-04-07,P007,10,709.69,Sul
2024-04-07,P005,14,611.13,Sul
2024-04-07,P014,17,646.68,Centro-Oeste
2024-04-07,P014,3,334.74,Centro-Oeste
2024-04-07,P001,11,759.17,Sul
2024-04-07,P010,9,381.48,Sul
2024-04-07,P006,11,191.61,Nordeste
2024-04-07,P005,19,730.33,Centro-Oeste
2024-04-07,P006,3,611.24,Sul
2024-04-07,P019,3,507.84,Centro-Oeste
2024-04-07,P015,16,728.87,Sul
2024-04-07,P018,12,391.39,Sudeste
2024-04-07,P009,8,173.82,Sul
2024-04-07,P001,2,166.16,Nordeste
2024-04-07,P006,1,202.38,Sudeste
2024-04-07,P005,7,326.29,Nordeste
2024-04-07,P011,1,728.41,Centro-Oeste
2024-04-07,P009,2,728.03,Centro-Oeste
2024-04-07,P002,18,166.74,Norte
2024-04-07,P011,7,700.19,Nordeste
2024-04-07,P007,5,160.02,Nordeste
2024-04-07,P008,5,333.72,Centro-Oeste
2024-04-07,P015,11,505.74,Sudeste
2024-04-07,P016,2,478.77,Nordeste
2024-04-07,P015,7,308.08,Sul
2024-04-07,P020,3,329.72,Norte
2024-04-07,P015,15,537.59,Centro-Oeste
2024-04-14,P005,6,140.69,Nordeste
2024-04-14,P020,2,288.9,Norte
2024-04-14,P007,17,75.17,Sul
2024-04-14,P005,14,699.54,Nordeste
2024-04-14,P017,8,627.12,Norte
2024-04-14,P006,17,642.03,Sul
2024-04-14,P010,9,547.38,Sudeste
2024-04-14,P003,7,506.71,Centro-Oeste
2024-04-14,P011,15,553.67,Sul
2024-04-14,P001,17,200.99,Norte
2024-04-14,P007,1,344.46,Nordeste
2024-04-14,P008,5,298.34,Sudeste
2024-04-14,P018,17,300.05,Nordeste
2024-04-14,P002,12,425.42,Sudeste
2024-04-14,P001,17,115.67,Nordeste
2024-04-14,P011,9,567.09,Sul
2024-04-14,P016,2,180.39,Centro-Oeste
2024-04-14,P008,14,510.76,Sudeste
2024-04-14,P018,11,757.24,Norte
2024-04-14,P003,14,759.72,Centro-Oeste
2024-04-14,P005,5,669.72,Norte
2024-04-14,P020,18,343.54,Sudeste
2024-04-14,P015,18,290.55,Sul
2024-04-14,P004,11,761.17,Sudeste
2024-04-14,P012,15,711.75,Nordeste
2024-04-14,P002,6,282.42,Norte
2024-04-14,P016,17,770.24,Sudeste
2024-04-14,P005,15,733.56,Sul
2024-04-14,P003,6,493.01,Sudeste
2024-04-14,P012,16,587.74,Norte
2024-04-21,P016,3,589.84,Nordeste
2024-04-21,P013,3,51.63,Norte
2024-04-21,P004,16,163.37,Sul
2024-04-21,P019,15,118.47,Sudeste
2024-04-21,P011,4,532.29,Norte
2024-04-21,P003,1,228.35,Centro-Oeste
2024-04-21,P001,15,561.64,Sudeste
2024-04-21,P011,17,669.13,Sudeste
2024-04-21,P001,6,530.39,Centro-Oeste
2024-04-21,P019,10,701.82,Centro-Oeste
2024-04-21,P002,2,45.01,Sul
2024-04-21,P018,6,408.47,Sudeste
2024-04-21,P010,2,634.5,Norte
2024-04-21,P008,19,386.03,Sul
2024-04-21,P015,20,369.19,Nordeste
2024-04-21,P008,15,646.53,Nordeste
2024-04-21,P011,6,492.13,Nordeste
2024-04-21,P002,12,341.69,Sul
2024-04-21,P009,10,498.77,Centro-Oeste
2024-04-21,P003,11,188.7,Norte
2024-04-21,P008,5,370.44,Sul
2024-04-21,P013,3,750.28,Centro-Oeste
2024-04-21,P019,7,414.61,Centro-Oeste
2024-04-21,P005,15,201.34,Nordeste
2024-04-21,P015,12,733.48,Nordeste
2024-04-21,P009,6,93.13,Sudeste
2024-04-21,P011,2,700.92,Sul
2024-04-21,P015,5,160.57,Sul
2024-04-21,P017,19,791.16,Sul
2024-04-21,P013,19,621.95,Norte
2024-04-28,P008,10,341.15,Sul
2024-04-28,P005,12,36.96,Centro-Oeste
2024-04-28,P017,6,308.53,Norte
2024-04-28,P004,4,98.21,Centro-Oeste
2024-04-28,P014,13,397.15,Nordeste
2024-04-28,P020,11,256.27,Norte
2024-04-28,P001,1,120.4,Sul
2024-04-28,P015,5,148.48,Sul
2024-04-28,P016,1,412.01,Centro-Oeste
2024-04-28,P006,19,97.0,Nordeste
2024-04-28,P009,16,32.53,Norte
2024-04-28,P013,12,794.8,Norte
2024-04-28,P013,18,254.29,Nordeste
2024-04-28,P018,5,238.85,Sul
2024-04-28,P009,15,348.75,Centro-Oeste
2024-04-28,P020,11,497.43,Nordeste
2024-04-28,P008,17,603.82,Norte
2024-04-28,P011,1,257.76,Nordeste
2024-04-28,P004,16,403.83,Sudeste
2024-04-28,P009,5,203.18,Centro-Oeste
2024-04-28,P012,14,729.4,Sudeste
2024-04-28,P004,13,639.74,Centro-Oeste
2024-04-28,P011,11,681.21,Sul
2024-04-28,P001,13,349.65,Norte
2024-04-28,P004,7,187.56,Sudeste
2024-04-28,P016,4,309.93,Nordeste
2024-04-28,P014,17,794.88,Sul
2024-04-28,P012,17,697.72,Sudeste
2024-04-28,P016,17,231.61,Centro-Oeste
2024-04-28,P017,11,644.21,Norte
2024-05-05,P010,9,148.68,Norte
2024-05-05,P009,3,81.98,Nordeste
2024-05-05,P015,1,454.07,Norte
2024-05-05,P006,9,650.01,Sul
2024-05-05,P008,4,650.9,Sudeste
2024-05-05,P014,18,175.18,Centro-Oeste
2024-05-05,P006,5,523.48,Nordeste
2024-05-05,P003,8,640.1,Nordeste
2024-05-05,P007,9,530.3,Nordeste
2024-05-05,P019,12,687.65,Sul
2024-05-05,P006,7,635.75,Centro-Oeste
2024-05-05,P015,2,500.65,Sudeste
2024-05-05,P016,3,766.28,Sudeste
2024-05-05,P017,11,160.49,Sul
2024-05-05,P017,4,87.12,Norte
2024-05-05,P017,20,169.06,Norte
2024-05-05,P004,8,380.72,Sudeste
2024-05-05,P012,19,340.55,Nordeste
2024-05-05,P012,9,341.03,Nordeste
2024-05-05,P018,12,36.19,Nordeste
2024-05-05,P020,9,341.35,Norte
2024-05-05,P020,15,159.1,Sudeste
2024-05-05,P003,17,488.6,Sul
2024-05-05,P010,16,611.93,Sudeste
2024-05-05,P004,16,437.71,Sudeste
2024-05-05,P001,5,670.26,Nordeste
2024-05-05,P009,20,506.02,Sul
2024-05-05,P012,2,417.46,Centro-Oeste
2024-05-05,P020,6,88.53,Nordeste
2024-05-05,P019,3,652.04,Nordeste
2024-05-12,P011,13,182.87,Sudeste
2024-05-12,P017,2,264.35,Sul
2024-05-12,P018,12,662.19,Nordeste
2024-05-12,P013,16,263.18,Norte
2024-05-12,P017,6,652.74,Nordeste
2024-05-12,P004,17,640.82,Sul
2024-05-12,P001,2,593.04,Sul
2024-05-12,P016,9,103.21,Nordeste
2024-05-12,P016,20,212.31,Sul
2024-05-12,P005,11,639.71,Norte
2024-05-12,P014,1,681.0,Sul
2024-05-12,P005,7,517.41,Sul
2024-05-12,P017,20,81.46,Centro-Oeste
2024-05-12,P011,4,662.55,Nordeste
2024-05-12,P020,4,304.17,Sudeste
2024-05-12,P002,14,339.06,Sul
2024-05-12,P010,1,334.58,Norte
2024-05-12,P019,1,72.86,Centro-Oeste
2024-05-12,P014,18,488.17,Sudeste
2024-05-12,P005,5,538.13,Centro-Oeste
2024-05-12,P011,1,282.65,Nordeste
2024-05-12,P007,7,795.01,Centro-Oeste
2024-05-12,P003,15,692.43,Centro-Oeste
2024-05-12,P008,16,436.18,Norte
2024-05-12,P011,19,730.56,Nordeste
2024-05-12,P017,11,78.22,Sul
2024-05-12,P014,3,541.83,Norte
2024-05-12,P010,7,149.92,Sul
2024-05-12,P012,18,421.94,Nordeste
2024-05-12,P003,4,376.44,Sudeste
2024-05-19,P007,6,288.96,Nordeste
2024-05-19,P016,4,273.47,Nordeste
2024-05-19,P007,15,232.03,Sudeste
2024-05-19,P009,4,160.39,Sul
2024-05-19,P015,15,215.06,Centro-Oeste
2024-05-19,P011,3,31.7,Norte
2024-05-19,P019,2,689.0,Sudeste
2024-05-19,P013,6,723.52,Sul
2024-05-19,P001,20,382.12,Norte
2024-05-19,P007,15,568.67,Sul
2024-05-19,P013,20,369.43,Norte
2024-05-19,P020,17,323.07,Sul
2024-05-19,P020,19,729.78,Sul
2024-05-19,P003,2,345.92,Centro-Oeste
2024-05-19,P017,18,685.18,Nordeste
2024-05-19,P019,3,681.22,Sudeste
2024-05-19,P019,10,193.84,Norte
2024-05-19,P002,18,201.74,Nordeste
2024-05-19,P007,16,754.68,Sul
2024-05-19,P001,1,769.35,Centro-Oeste
2024-05-19,P003,20,275.33,Sul
2024-05-19,P007,14,251.49,Sul
2024-05-19,P013,1,561.42,Nordeste
2024-05-19,P011,11,71.55,Nordeste
2024-05-19,P012,7,295.84,Centro-Oeste
2024-05-19,P020,20,437.34,Sul
2024-05-19,P013,6,243.11,Nordeste
2024-05-19,P018,11,537.47,Centro-Oeste
2024-05-19,P020,3,584.26,Sudeste
2024-05-19,P004,3,171.06,Centro-Oeste
2024-05-26,P006,17,244.72,Centro-Oeste
2024-05-26,P019,20,228.37,Nordeste
2024-05-26,P010,2,498.79,Centro-Oeste
2024-05-26,P009,8,514.91,Norte
2024-05-26,P012,12,713.25,Centro-Oeste
2024-05-26,P011,12,484.25,Sul
2024-05-26,P006,1,163.57,Norte
2024-05-26,P004,5,522.88,Centro-Oeste
2024-05-26,P011,2,32.24,Nordeste
2024-05-26,P016,3,636.83,Sudeste
2024-05-26,P008,8,448.11,Sul
2024-05-26,P005,18,388.18,Norte
2024-05-26,P002,11,443.78,Norte
2024-05-26,P015,6,703.76,Sul
2024-05-26,P008,10,601.22,Centro-Oeste
2024-05-26,P015,4,609.37,Centro-Oeste
2024-05-26,P003,3,198.57,Norte
2024-05-26,P003,5,563.72,Nordeste
2024-05-26,P012,5,402.92,Sudeste
2024-05-26,P013,14,425.99,Nordeste
2024-05-26,P014,17,612.86,Sul
2024-05-26,P005,10,756.47,Norte
2024-05-26,P019,11,248.63,Sudeste
2024-05-26,P018,15,619.32,Sul
2024-05-26,P009,6,700.59,Sul
2024-05-26,P013,4,426.96,Centro-Oeste
2024-05-26,P007,16,628.48,Nordeste
2024-05-26,P018,3,355.33,Norte
2024-05-26,P001,1,131.51,Centro-Oeste
2024-05-26,P001,4,65.5,Centro-Oeste
2024-06-02,P008,4,271.25,Centro-Oeste
2024-06-02,P003,4,450.9,Sul
2024-06-02,P010,6,572.08,Norte
2024-06-02,P004,15,105.05,Sul
2024-06-02,P020,12,622.39,Centro-Oeste
2024-06-02,P011,14,600.86,Nordeste
2024-06-02,P012,6,376.92,Centro-Oeste
